spot_artists,spot_song_name,other_artists,other_song_name,match_found,other_index,spot_index,best_match_score,best_match_artist_match_pct,best_match_name_match_pct
foster the people,pumped up kicks,foster the people,pumped up kicks,True,213.0,1051,100.0,100.0,100.0
rihanna,umbrella,rihanna,umbrella,True,228.0,2498,100.0,100.0,100.0
paramore,still into you,paramore,still into you,True,293.0,2263,100.0,100.0,100.0
frank sinatra,strangers in the night,frank sinatra,strangers in the night,True,457.0,1057,100.0,100.0,100.0
3 doors down,kryptonite,3 doors down,kryptonite,True,857.0,22,100.0,100.0,100.0
yes,owner of a lonely heart,yes,owner of a lonely heart,True,1096.0,3353,100.0,100.0,100.0
frank ocean,lost,frank ocean,lost,True,263.0,1055,100.0,100.0,100.0
foo fighters,everlong,foo fighters,everlong,True,13.0,1044,100.0,100.0,100.0
abba,gimme! gimme! gimme! (a man after midnight),abba,gimme! gimme! gimme! (a man after midnight),True,321.0,54,100.0,100.0,100.0
abba,dancing queen,abba,dancing queen,True,231.0,53,100.0,100.0,100.0
cyndi lauper,girls just want to have fun,cyndi lauper,girls just want to have fun,True,286.0,667,100.0,100.0,100.0
taylor swift,wildest dreams,taylor swift,wildest dreams,True,993.0,2821,100.0,100.0,100.0
a-ha,take on me,a-ha,take on me,True,224.0,50,100.0,100.0,100.0
taylor swift,blank space,taylor swift,blank space,True,295.0,2527,100.0,100.0,100.0
cyndi lauper,time after time,cyndi lauper,time after time,True,1007.0,669,100.0,100.0,100.0
survivor,eye of the tiger,survivor,eye of the tiger,True,503.0,2787,100.0,100.0,100.0
florence + the machine,dog days are over,florence + the machine,dog days are over,True,216.0,1019,100.0,100.0,100.0
lit,my own worst enemy,lit,my own worst enemy,True,1471.0,1791,100.0,100.0,100.0
lorde,team,lorde,team,True,144.0,1869,100.0,100.0,100.0
lorde,royals,lorde,royals,True,118.0,1868,100.0,100.0,100.0
