spot_artists,spot_song_name,other_artists,other_song_name,match_found,other_index,spot_index,best_match_score,best_match_artist_match_pct,best_match_name_match_pct
amii stewart,knock on wood,amii stewart,knock on wood,True,972.0,146,100.0,100.0,100.0
toby keith,red solo cup,toby keith,red solo cup,True,29322.0,3144,100.0,100.0,100.0
tlc,waterfalls,tlc,waterfalls,True,29287.0,3142,100.0,100.0,100.0
tlc,unpretty,tlc,unpretty,True,29286.0,3141,100.0,100.0,100.0
tlc,no scrubs,tlc,no scrubs,True,29283.0,3140,100.0,100.0,100.0
tlc,creep,tlc,creep,True,29276.0,3139,100.0,100.0,100.0
tina turner,what's love got to do with it,tina turner,what's love got to do with it,True,29256.0,3138,100.0,100.0,100.0
ariana grande,dangerous woman,ariana grande,dangerous woman,True,1349.0,177,100.0,100.0,100.0
ariana grande,breathin,ariana grande,breathin,True,1347.0,176,100.0,100.0,100.0
ariana grande,break free,ariana grande,break free,True,1345.0,175,100.0,100.0,100.0
ariana grande,7 rings,ariana grande,7 rings,True,1339.0,174,100.0,100.0,100.0
aretha franklin,respect,aretha franklin,respect,True,1302.0,173,100.0,100.0,100.0
archie bell and the drells,tighten up,archie bell and the drells,tighten up,True,1259.0,168,100.0,100.0,100.0
annie lennox,walking on broken glass,annie lennox,walking on broken glass,True,1202.0,163,100.0,100.0,100.0
timbaland,give it to me,timbaland,give it to me,True,29202.0,3136,100.0,100.0,100.0
tiffany,i think we're alone now,tiffany,i think we're alone now,True,29131.0,3132,100.0,100.0,100.0
tiffany,could've been,tiffany,could've been,True,29128.0,3131,100.0,100.0,100.0
three dog night,joy to the world,three dog night,joy to the world,True,29092.0,3129,100.0,100.0,100.0
three 6 mafia,stay fly,three 6 mafia,stay fly,True,29078.0,3126,100.0,100.0,100.0
thompson twins,hold me now,thompson twins,hold me now,True,29065.0,3124,100.0,100.0,100.0
third eye blind,semi-charmed life,third eye blind,semi-charmed life,True,29016.0,3122,100.0,100.0,100.0
arizona zervas,roxanne,arizona zervas,roxanne,True,1410.0,191,100.0,100.0,100.0
ariana grande,"yes, and?",ariana grande,"yes, and?",True,1402.0,189,100.0,100.0,100.0
ariana grande,we can't be friends (wait for your love),ariana grande,we can't be friends (wait for your love),True,1400.0,188,100.0,100.0,100.0
ariana grande,the way,ariana grande,the way,True,1398.0,187,100.0,100.0,100.0
ariana grande,"thank u, next",ariana grande,"thank u, next",True,1395.0,186,100.0,100.0,100.0
ariana grande,side to side,ariana grande,side to side,True,1390.0,184,100.0,100.0,100.0
ariana grande,problem,ariana grande,problem,True,1384.0,183,100.0,100.0,100.0
ariana grande,positions,ariana grande,positions,True,1382.0,182,100.0,100.0,100.0
ariana grande,one last time,ariana grande,one last time,True,1379.0,181,100.0,100.0,100.0
ariana grande,no tears left to cry,ariana grande,no tears left to cry,True,1376.0,180,100.0,100.0,100.0
ariana grande,god is a woman,ariana grande,god is a woman,True,1358.0,178,100.0,100.0,100.0
third eye blind,how's it going to be,third eye blind,how's it going to be,True,29013.0,3119,100.0,100.0,100.0
thin lizzy,the boys are back in town,thin lizzy,the boys are back in town,True,29010.0,3118,100.0,100.0,100.0
thelma houston,don't leave me this way,thelma houston,don't leave me this way,True,28997.0,3117,100.0,100.0,100.0
the young rascals,groovin',the young rascals,groovin',True,28973.0,3116,100.0,100.0,100.0
the weeknd,the hills,the weeknd,the hills,True,28882.0,3111,100.0,100.0,100.0
the weeknd,starboy,the weeknd,starboy,True,28877.0,3110,100.0,100.0,100.0
the weeknd,i feel it coming,the weeknd,i feel it coming,True,28847.0,3107,100.0,100.0,100.0
the weeknd,heartless,the weeknd,heartless,True,28843.0,3106,100.0,100.0,100.0
ava max,sweet but psycho,ava max,sweet but psycho,True,1556.0,201,100.0,100.0,100.0
atlantic starr,always,atlantic starr,always,True,1517.0,199,100.0,100.0,100.0
asia,heat of the moment,asia,heat of the moment,True,1498.0,197,100.0,100.0,100.0
ashanti,foolish,ashanti,foolish,True,1461.0,196,100.0,100.0,100.0
the weeknd,earned it (fifty shades of grey),the weeknd,earned it (fifty shades of grey),True,28836.0,3105,100.0,100.0,100.0
